"transaction_id","avg_spent"
"TXN_8566499","25.00"
"TXN_4155770","25.00"
"TXN_5132082","25.00"
"TXN_7109358","25.00"
"TXN_1037486","25.00"
"TXN_2119809","25.00"
"TXN_1232346","25.00"
"TXN_7568112","25.00"
"TXN_3512665","25.00"
"TXN_9579984","25.00"
"TXN_4463677","25.00"
"TXN_1373048","25.00"
"TXN_5430694","25.00"
"TXN_4807037","25.00"
"TXN_4201578","25.00"
"TXN_2968827","25.00"
"TXN_1485725","25.00"
"TXN_9681369","25.00"
"TXN_6057379","25.00"
"TXN_4205369","25.00"
"TXN_4381404","25.00"
"TXN_2491186","25.00"
"TXN_1122699","25.00"
"TXN_6669417","25.00"
"TXN_2500345","25.00"
"TXN_2392263","25.00"
"TXN_4205860","25.00"
"TXN_5560669","25.00"
"TXN_5523450","25.00"
"TXN_5295223","25.00"
"TXN_1950777","25.00"
"TXN_5922981","25.00"
"TXN_6265785","25.00"
"TXN_4247602","25.00"
"TXN_4561296","25.00"
"TXN_5895330","25.00"
"TXN_5256055","25.00"
"TXN_2355099","25.00"
"TXN_5191642","25.00"
"TXN_4583009","25.00"
"TXN_5220895","25.00"
"TXN_4469769","25.00"
"TXN_4600894","25.00"
"TXN_3792125","25.00"
"TXN_9224501","25.00"
"TXN_6120851","25.00"
"TXN_2494194","25.00"
"TXN_3927733","25.00"
"TXN_4296204","25.00"
"TXN_1213938","25.00"
"TXN_8103754","25.00"
"TXN_8240436","25.00"
"TXN_8978924","25.00"
"TXN_1665056","25.00"
"TXN_2929426","25.00"
"TXN_7172693","25.00"
"TXN_6994354","25.00"
"TXN_8223689","25.00"
"TXN_9193760","25.00"
"TXN_3212317","25.00"
"TXN_5079166","25.00"
"TXN_3695238","25.00"
"TXN_2769769","25.00"
"TXN_2536821","25.00"
"TXN_7060691","25.00"
"TXN_3562332","25.00"
"TXN_9455679","25.00"
"TXN_2548742","25.00"
"TXN_5827969","25.00"
"TXN_5832968","25.00"
"TXN_8807199","25.00"
"TXN_1755661","25.00"
"TXN_8740501","25.00"
"TXN_6504096","25.00"
"TXN_4797429","25.00"
"TXN_1720238","25.00"
"TXN_4096757","25.00"
"TXN_2736267","25.00"
"TXN_7187578","25.00"
"TXN_4346813","25.00"
"TXN_1749930","25.00"
"TXN_2006923","25.00"
"TXN_9525078","25.00"
"TXN_8917809","25.00"
"TXN_2206884","25.00"
"TXN_8211303","25.00"
"TXN_4075198","25.00"
"TXN_4417257","25.00"
"TXN_3711712","25.00"
"TXN_8356338","25.00"
"TXN_7153321","25.00"
"TXN_8914892","25.00"
"TXN_1367003","25.00"
"TXN_1901704","25.00"
"TXN_5743619","25.00"
"TXN_6533576","25.00"
"TXN_6875870","25.00"
"TXN_2141924","25.00"
"TXN_9506076","25.00"
"TXN_3520982","25.00"
